timestamp,store_id,sku_id,quantity_sold,price_at_sale,stockout_flag,weather_condition,temperature_celsius,public_holiday_flag,local_event_flag,is_weekend,day_of_week,hour_of_day
2024-04-01 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,8,51.09,0,Clear,31.8,0,0,0,0,9
2024-04-01 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,26,53.06,0,Clear,31.8,0,0,0,0,18
2024-04-01 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,14,50.57,0,Clear,31.8,0,0,0,0,21
2024-04-02 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,13,50.52,0,Rain,21.4,0,0,0,1,9
2024-04-02 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,23,51.78,0,Rain,21.4,0,0,0,1,18
2024-04-02 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,21,49.84,0,Rain,21.4,0,0,0,1,21
2024-04-03 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,16,53.63,0,Clear,28.6,0,0,0,2,9
2024-04-03 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,16,50.65,0,Clear,28.6,0,0,0,2,18
2024-04-03 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,14,51.99,0,Clear,28.6,0,0,0,2,21
2024-04-04 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,19,50.45,0,Clear,31.5,0,0,0,3,9
2024-04-04 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,16,54.21,0,Clear,31.5,0,0,0,3,18
2024-04-04 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,21,51.08,0,Clear,31.5,0,0,0,3,21
2024-04-05 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,53.8,0,Cloudy,26.8,0,1,0,4,9
2024-04-05 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,49.69,1,Cloudy,26.8,0,1,0,4,18
2024-04-05 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,13,49.86,0,Cloudy,26.8,0,1,0,4,21
2024-04-06 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,22,52.08,0,Clear,31.9,0,0,1,5,9
2024-04-06 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,49.43,1,Clear,31.9,0,0,1,5,18
2024-04-06 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,19,53.83,0,Clear,31.9,0,0,1,5,21
2024-04-07 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,49.41,1,Rain,19.8,0,0,1,6,9
2024-04-07 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,53.99,1,Rain,19.8,0,0,1,6,18
2024-04-07 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,51.68,1,Rain,19.8,0,0,1,6,21
2024-04-08 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,12,51.82,0,Clear,28.7,0,0,0,0,9
2024-04-08 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,15,50.09,0,Clear,28.7,0,0,0,0,18
2024-04-08 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,15,54.23,0,Clear,28.7,0,0,0,0,21
2024-04-09 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,17,52.5,0,Clear,30.1,0,0,0,1,9
2024-04-09 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,17,52.01,0,Clear,30.1,0,0,0,1,18
2024-04-09 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,12,51.74,0,Clear,30.1,0,0,0,1,21
2024-04-10 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,21,51.54,0,Clear,29.2,0,0,0,2,9
2024-04-10 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,11,53.34,0,Clear,29.2,0,0,0,2,18
2024-04-10 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,13,53.22,0,Clear,29.2,0,0,0,2,21
2024-04-11 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,11,53.7,0,Cloudy,24.6,0,0,0,3,9
2024-04-11 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,21,54.16,0,Cloudy,24.6,0,0,0,3,18
2024-04-11 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,6,50.31,1,Cloudy,24.6,0,0,0,3,21
2024-04-12 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,15,52.88,0,Clear,29.5,0,1,0,4,9
2024-04-12 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,49.63,1,Clear,29.5,0,1,0,4,18
2024-04-12 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,25,50.73,0,Clear,29.5,0,1,0,4,21
2024-04-13 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,34,51.37,0,Cloudy,27.1,0,0,1,5,9
2024-04-13 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,53.09,1,Cloudy,27.1,0,0,1,5,18
2024-04-13 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,54.44,0,Cloudy,27.1,0,0,1,5,21
2024-04-14 09:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,53.61,1,Clear,30.1,1,0,1,6,9
2024-04-14 18:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,50.19,1,Clear,30.1,1,0,1,6,18
2024-04-14 21:00:00,DS001_Andheri_MUM,SKU001_Milk_1L,24,51.49,1,Clear,30.1,1,0,1,6,21
